"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"695",722,66259,77,1,3,3,2,2,1,2,2,5,3,2,6
"696",723,66264,71,1,2,2,2,2,2,1,3,4,2,7,7
"697",724,66276,35,2,10,3,2,1,1,1,1,4,5,7,5
"698",725,66282,48,1,9,2,1,2,2,2,2,6,3,7,5
"699",726,66288,40,1,5,3,2,1,1,1,1,6,5,6,10
"700",727,66331,68,2,3,3,2,1,1,4,1,6,3,7,9
"701",728,66337,85,2,3,1,1,2,3,2,2,6,7,0,0
"702",729,66358,78,2,77,1,1,4,1,2,2,4,7,1,4
"703",730,66382,35,1,10,3,2,1,1,1,1,6,5,7,9
"704",731,66420,68,2,6,2,1,1,1,1,1,4,6,0,8
"705",732,66447,22,1,88,3,1,1,2,2,2,6,6,2,8
"706",733,66464,75,2,2,2,2,1,1,2,2,4,1,0,8
"707",734,66487,47,2,2,3,2,2,2,2,1,6,7,7,9
"708",735,66497,70,2,3,3,2,1,1,1,1,6,3,4,7
"709",736,66565,73,1,6,2,1,1,2,2,3,6,2,1,7
"710",737,66566,26,2,10,3,2,2,1,1,1,6,3,7,10
"711",738,66613,27,2,5,3,2,2,1,1,1,6,4,5,7
"712",739,66641,21,2,77,3,2,1,1,1,1,1,5,7,5
"713",740,66666,66,2,3,2,2,1,1,1,1,1,4,1,10
"714",741,66677,53,2,77,2,1,4,4,3,4,4,3,7,8
"715",742,66702,81,1,7,3,1,1,1,1,1,6,2,7,8
"716",743,66719,77,2,3,1,2,2,3,2,2,6,2,0,10
"717",744,66743,46,1,77,3,2,2,2,2,1,1,2,7,8
"718",745,66758,53,1,4,2,1,1,1,1,2,6,7,7,6
"719",746,66772,72,2,6,3,2,2,1,1,2,6,1,7,8
"720",747,66800,53,2,7,3,1,1,2,1,2,4,2,3,9
"721",748,66804,32,2,88,2,1,1,1,1,2,4,1,2,9
"722",749,66829,29,2,5,1,1,3,2,3,4,6,2,0,6
"723",750,66834,37,2,1,2,1,1,1,1,1,6,6,0,0
"724",751,66840,50,2,10,2,1,1,2,1,2,6,2,6,8
"725",752,66857,80,1,77,3,2,1,1,1,1,4,5,0,5
"726",753,66882,48,1,3,1,1,4,3,4,4,4,4,3,3
"727",754,66891,25,2,6,3,2,1,1,1,2,6,6,7,6
"728",755,66953,71,2,2,3,2,1,2,1,1,6,4,2,8
"729",756,66982,79,1,7,2,2,3,1,1,1,6,3,0,9
"730",757,66991,33,2,3,3,1,2,2,2,2,6,3,3,5
"731",759,67022,68,2,4,2,2,2,2,2,1,4,7,3,7
"732",760,67042,55,1,77,3,2,1,1,1,1,6,3,7,9
"733",761,67069,48,2,6,3,2,1,2,1,3,6,3,6,10
"734",762,67085,38,2,7,3,2,2,1,2,2,6,6,3,8
"735",763,67109,64,2,3,3,2,2,1,1,2,4,2,7,8
"736",764,67111,65,1,6,3,1,2,2,2,3,6,4,7,6
"737",765,67161,54,1,9,3,1,1,1,1,1,6,2,7,10
"738",766,67170,70,1,88,2,1,2,1,1,1,4,2,3,8
"739",767,67173,74,1,2,1,2,2,1,2,1,4,4,0,4
"740",768,67183,57,1,4,3,2,2,2,1,2,4,5,0,10
"741",769,67210,76,2,88,2,1,2,2,2,2,5,2,4,3
"742",770,67222,67,2,8,3,1,1,1,1,3,6,3,0,8
"743",771,67228,38,2,8,3,1,2,1,1,2,2,6,7,7
"744",772,67251,62,2,6,3,2,1,1,1,2,6,3,7,8
"745",773,67264,57,1,1,1,2,1,4,4,3,5,5,0,3
"746",774,67294,43,2,1,2,2,2,2,4,3,1,2,0,9
"748",776,67301,79,2,1,3,2,2,2,2,1,6,7,0,7
"749",777,67315,71,1,3,3,1,1,1,1,1,6,5,7,8
"750",778,67355,54,1,77,2,1,2,3,4,3,4,7,0,3
"751",779,67387,41,1,6,3,2,2,1,1,1,2,7,7,10
"752",780,67422,42,1,9,1,1,2,2,1,2,4,3,5,7
"753",781,67451,29,1,4,3,2,1,1,2,1,6,7,0,5
"754",782,67460,43,1,9,3,2,1,1,1,2,6,2,0,8
"755",783,67489,67,2,1,1,1,2,2,3,3,6,7,0,8
"756",784,67492,18,1,4,2,2,2,2,1,2,6,3,7,7
"757",785,67506,80,1,10,3,1,1,1,1,2,5,2,6,8
"758",786,67519,73,2,88,3,2,3,2,2,2,6,7,7,9
"759",787,67549,20,1,88,2,1,3,2,3,3,5,6,3,5
"760",788,67553,39,2,9,3,2,1,1,1,2,5,3,3,6
"761",789,67584,76,1,3,2,2,1,1,2,2,4,2,0,8
"762",790,67651,64,2,1,3,1,1,1,1,1,6,7,7,8
"763",791,67654,86,1,6,3,7,1,1,4,1,6,1,7,7
"764",792,67655,76,1,5,3,2,2,1,2,1,4,2,2,8
"765",793,67661,65,2,2,3,2,2,1,1,3,6,2,7,8
"766",794,67685,61,2,8,3,2,2,1,1,2,6,2,5,7
"767",795,67686,35,2,77,3,2,2,2,2,2,6,7,5,7
"768",797,67771,71,1,77,3,2,1,1,1,1,6,2,7,7
"769",798,67785,67,1,5,3,2,1,1,1,1,4,7,7,9
"770",799,67802,43,1,7,2,2,1,2,1,3,4,2,0,7
"771",800,67819,22,2,9,3,1,2,1,2,2,3,2,4,2
"772",801,67831,79,1,3,3,2,1,1,1,3,4,6,7,7
"773",802,67838,66,2,3,3,2,2,2,1,3,4,3,0,5
"774",803,67861,33,2,1,3,2,2,2,1,1,6,6,4,8
"775",804,67895,63,2,8,3,2,1,1,1,1,6,7,7,10
"776",805,67897,25,2,3,3,2,1,1,1,1,6,7,4,8
"777",806,67905,74,2,9,3,2,1,1,1,1,4,2,3,8
"778",807,67955,79,1,88,3,2,1,1,1,1,4,7,0,8
"779",808,67970,67,1,7,2,2,2,2,1,2,6,7,6,8
"780",809,68008,72,2,77,3,2,1,1,1,1,4,2,1,5
"781",810,68027,36,2,6,2,2,2,1,1,2,6,6,4,7
"782",811,68080,49,1,10,3,1,1,1,2,1,4,1,4,8
"783",812,68105,64,2,4,3,2,2,1,1,2,4,3,4,8
"784",813,68115,53,1,6,2,2,2,1,2,1,4,6,7,8
"785",814,68129,71,2,2,1,1,2,1,4,3,6,7,1,5
"786",815,68149,61,2,8,2,2,1,1,1,2,4,3,4,9
